Date	Open	High	Low	Close 	Adj Close 	Volume
Aug 1, 2025	17.40	21.90	17.39	21.66	21.66	-
Jul 31, 2025	14.99	17.17	14.74	16.72	16.72	-
Jul 30, 2025	15.87	17.27	15.44	15.48	15.48	-
Jul 29, 2025	14.95	16.12	14.70	15.98	15.98	-
Jul 28, 2025	15.15	15.54	15.00	15.03	15.03	-
Jul 25, 2025	15.33	15.39	14.92	14.93	14.93	-
Jul 24, 2025	15.39	15.54	14.95	15.39	15.39	-
Jul 23, 2025	16.23	16.32	15.32	15.37	15.37	-
Jul 22, 2025	16.75	17.48	16.43	16.50	16.50	-
Jul 21, 2025	16.87	16.99	16.30	16.65	16.65	-
Jul 18, 2025	16.43	16.81	16.28	16.41	16.41	-
Jul 17, 2025	17.16	17.37	16.48	16.52	16.52	-
Jul 16, 2025	17.66	19.48	16.69	17.16	17.16	-
Jul 15, 2025	16.89	17.39	16.56	17.38	17.38	-
Jul 14, 2025	17.73	17.85	16.91	17.20	17.20	-
Jul 11, 2025	16.41	17.24	15.98	16.40	16.40	-
Jul 10, 2025	16.23	16.24	15.70	15.78	15.78	-
Jul 9, 2025	16.76	16.76	15.76	15.94	15.94	-
Jul 8, 2025	17.41	17.44	16.54	16.81	16.81	-
Jul 7, 2025	17.83	18.50	17.51	17.79	17.79	-
Jul 3, 2025	16.65	16.83	16.14	16.38	16.38	-
Jul 2, 2025	16.75	17.37	16.54	16.64	16.64	-
Jul 1, 2025	16.98	17.48	16.51	16.83	16.83	-
Jun 30, 2025	17.19	17.43	16.55	16.73	16.73	-
Jun 27, 2025	16.31	17.29	16.12	16.32	16.32	-
Jun 26, 2025	16.67	16.78	16.11	16.59	16.59	-
Jun 25, 2025	17.28	17.51	16.68	16.76	16.76	-
Jun 24, 2025	18.19	18.72	17.33	17.48	17.48	-
Jun 23, 2025	21.15	22.51	19.82	19.83	19.83	-
Jun 20, 2025	20.74	21.07	19.11	20.62	20.62	-
Jun 18, 2025	20.90	21.58	19.59	20.14	20.14	-
Jun 17, 2025	20.53	21.79	19.55	21.60	21.60	-
Jun 16, 2025	19.78	20.22	18.67	19.11	19.11	-
Jun 13, 2025	21.76	22.00	18.88	20.82	20.82	-
Jun 12, 2025	17.87	18.87	17.43	18.02	18.02	-
Jun 11, 2025	17.04	18.09	16.23	17.26	17.26	-
Jun 10, 2025	17.50	17.99	16.68	16.95	16.95	-
Jun 9, 2025	17.69	17.72	16.82	17.16	17.16	-
Jun 6, 2025	18.16	18.35	16.65	16.77	16.77	-
Jun 5, 2025	17.68	18.80	17.08	18.48	18.48	-
Jun 4, 2025	17.68	18.07	17.41	17.61	17.61	-
Jun 3, 2025	18.83	19.21	17.64	17.69	17.69	-
Jun 2, 2025	19.81	20.45	18.36	18.36	18.36	-
May 30, 2025	19.61	20.55	18.57	18.57	18.57	-
May 29, 2025	18.25	20.20	18.11	19.18	19.18	-
May 28, 2025	19.21	19.43	18.68	19.31	19.31	-
May 27, 2025	20.63	21.01	18.95	18.96	18.96	-
May 23, 2025	20.14	25.53	19.83	22.29	22.29	-
May 22, 2025	20.62	22.07	19.64	20.28	20.28	-
May 21, 2025	18.77	21.05	17.77	20.87	20.87	-
May 20, 2025	18.46	18.68	17.70	18.09	18.09	-
May 19, 2025	19.84	19.92	17.92	18.14	18.14	-
May 16, 2025	17.96	17.96	17.15	17.24	17.24	-
May 15, 2025	19.19	19.38	17.77	17.83	17.83	-
May 14, 2025	18.10	18.82	18.06	18.62	18.62	-
May 13, 2025	18.69	18.85	17.65	18.22	18.22	-
May 12, 2025	19.84	20.44	18.14	18.39	18.39	-
May 9, 2025	22.40	22.82	21.83	21.90	21.90	-
May 8, 2025	22.84	23.61	21.88	22.48	22.48	-
May 7, 2025	24.56	25.62	23.29	23.55	23.55	-
